gameid,type,team,name,number
22342,home,Arsenal,Petr Cech,33
22342,home,Arsenal,Sead Kolasinac,31
22342,home,Arsenal,Rob Holding,16
22342,home,Arsenal,Nacho Monreal,18
22342,home,Arsenal,Mohamed Elneny,35
22342,home,Arsenal,Granit Xhaka,29
22342,home,Arsenal,Alex Oxlade-Chamberlain,15
22342,home,Arsenal,Héctor Bellerín,24
22342,home,Arsenal,Mesut Özil,11
22342,home,Arsenal,Danny Welbeck,23
22342,home,Arsenal,Alexandre Lacazette,9
22342,away,Leicester City,Kasper Schmeichel,1
22342,away,Leicester City,Christian Fuchs,28
22342,away,Leicester City,Wes Morgan,5
22342,away,Leicester City,Harry Maguire,15
22342,away,Leicester City,Danny Simpson,2
22342,away,Leicester City,Marc Albrighton,11
22342,away,Leicester City,Matty James,22
22342,away,Leicester City,Wilfred Ndidi,25
22342,away,Leicester City,Riyad Mahrez,26
22342,away,Leicester City,Shinji Okazaki,20
22342,away,Leicester City,Jamie Vardy,9
22343,home,Brighton and Hove Albion,Mat Ryan,1
22343,home,Brighton and Hove Albion,Lewis Dunk,5
22343,home,Brighton and Hove Albion,Markus Suttner,29
22343,home,Brighton and Hove Albion,Shane Duffy,22
22343,home,Brighton and Hove Albion,Bruno,2
22343,home,Brighton and Hove Albion,Davy Pröpper,24
22343,home,Brighton and Hove Albion,Solly March,20
22343,home,Brighton and Hove Albion,Dale Stephens,6
22343,home,Brighton and Hove Albion,Isaiah Brown,37
22343,home,Brighton and Hove Albion,Pascal Groß,13
22343,home,Brighton and Hove Albion,Tomer Hemed,10
22343,away,Manchester City,Ederson,31
22343,away,Manchester City,Vincent Kompany,4
22343,away,Manchester City,John Stones,5
22343,away,Manchester City,Nicolás Otamendi,30
22343,away,Manchester City,Fernandinho,25
22343,away,Manchester City,Kyle Walker,2
22343,away,Manchester City,David Silva,21
22343,away,Manchester City,Kevin De Bruyne,17
22343,away,Manchester City,Danilo,3
22343,away,Manchester City,Sergio Agüero,10
22343,away,Manchester City,Gabriel Jesus,33
22344,home,Chelsea,Thibaut Courtois,13
22344,home,Chelsea,Antonio Rüdiger,2
22344,home,Chelsea,David Luiz,30
22344,home,Chelsea,Gary Cahill,24
22344,home,Chelsea,N'Golo Kanté,7
22344,home,Chelsea,Cesc Fàbregas,4
22344,home,Chelsea,Marcos Alonso,3
22344,home,Chelsea,César Azpilicueta,28
22344,home,Chelsea,Willian,22
22344,home,Chelsea,Jeremie Boga,38
22344,home,Chelsea,Michy Batshuayi,23
22344,away,Burnley,Tom Heaton,1
22344,away,Burnley,Matthew Lowton,2
22344,away,Burnley,Stephen Ward,23
22344,away,Burnley,Ben Mee,6
22344,away,Burnley,James Tarkowski,5
22344,away,Burnley,Jóhann Gudmundsson,17
22344,away,Burnley,Robbie Brady,12
22344,away,Burnley,Steven Defour,16
22344,away,Burnley,Jack Cork,4
22344,away,Burnley,Sam Vokes,9
22344,away,Burnley,Jeff Hendrick,13
22345,home,Crystal Palace,Wayne Hennessey,13
22345,home,Crystal Palace,Timothy Fosu-Mensah,24
22345,home,Crystal Palace,Scott Dann,6
22345,home,Crystal Palace,Jairo Riedewald,44
22345,home,Crystal Palace,Luka Milivojevic,4
22345,home,Crystal Palace,Joel Ward,2
22345,home,Crystal Palace,Patrick van Aanholt,3
22345,home,Crystal Palace,Jason Puncheon,42
22345,home,Crystal Palace,Christian Benteke,17
22345,home,Crystal Palace,Ruben Loftus-Cheek,8
22345,home,Crystal Palace,Wilfried Zaha,11
22345,away,Huddersfield Town,Jonas Lössl,1
22345,away,Huddersfield Town,Zanka,25
22345,away,Huddersfield Town,Christopher Schindler,26
22345,away,Huddersfield Town,Chris Löwe,15
22345,away,Huddersfield Town,Tommy Smith,2
22345,away,Huddersfield Town,Tom Ince,22
22345,away,Huddersfield Town,Elias Kachunga,9
22345,away,Huddersfield Town,Kasey Palmer,45
22345,away,Huddersfield Town,Philip Billing,8
22345,away,Huddersfield Town,Aaron Mooy,10
22345,away,Huddersfield Town,Steve Mounie,24
22346,home,Everton,Jordan Pickford,1
22346,home,Everton,Phil Jagielka,6
22346,home,Everton,Ashley Williams,5
22346,home,Everton,Michael Keane,4
22346,home,Everton,Idrissa Gueye,17
22346,home,Everton,Dominic Calvert-Lewin,29
22346,home,Everton,Leighton Baines,3
22346,home,Everton,Morgan Schneiderlin,2
22346,home,Everton,Wayne Rooney,10
22346,home,Everton,Sandro Ramírez,9
22346,home,Everton,Davy Klaassen,20
22346,away,Stoke City,Jack Butland,1
22346,away,Stoke City,Ryan Shawcross,17
22346,away,Stoke City,Kurt Zouma,6
22346,away,Stoke City,Geoff Cameron,20
22346,away,Stoke City,Mame Biram Diouf,18
22346,away,Stoke City,Erik Pieters,3
22346,away,Stoke City,Darren Fletcher,24
22346,away,Stoke City,Joe Allen,4
22346,away,Stoke City,Bojan,27
22346,away,Stoke City,Xherdan Shaqiri,22
22346,away,Stoke City,Saido Berahino,9
22347,home,Manchester United,David de Gea,1
22347,home,Manchester United,Daley Blind,17
22347,home,Manchester United,Luis Antonio Valencia,25
22347,home,Manchester United,Eric Bailly,3
22347,home,Manchester United,Phil Jones,4
22347,home,Manchester United,Paul Pogba,6
22347,home,Manchester United,Henrikh Mkhitaryan,22
22347,home,Manchester United,Nemanja Matic,31
22347,home,Manchester United,Juan Mata,8
22347,home,Manchester United,Marcus Rashford,19
22347,home,Manchester United,Romelu Lukaku,9
22347,away,West Ham United,Joe Hart,25
22347,away,West Ham United,Arthur Masuaku,26
22347,away,West Ham United,Pablo Zabaleta,5
22347,away,West Ham United,Angelo Ogbonna,21
22347,away,West Ham United,Winston Reid,2
22347,away,West Ham United,André Ayew,20
22347,away,West Ham United,Edimilson Fernandes,31
22347,away,West Ham United,Marko Arnautovic,27
22347,away,West Ham United,Mark Noble,16
22347,away,West Ham United,Pedro Obiang,14
22347,away,West Ham United,Chicharito,17
22348,home,Newcastle United,Robert Elliot,1
22348,home,Newcastle United,Javier Manquillo,19
22348,home,Newcastle United,Ciaran Clark,2
22348,home,Newcastle United,Florian Lejeune,20
22348,home,Newcastle United,Paul Dummett,3
22348,home,Newcastle United,Jonjo Shelvey,8
22348,home,Newcastle United,Christian Atsu,30
22348,home,Newcastle United,Isaac Hayden,14
22348,home,Newcastle United,Ayoze Pérez,17
22348,home,Newcastle United,Matt Ritchie,11
