GH,GA,scorer,time,scoring,game,season
2,0,Anton Janssen,72,KV Kortrijk,KV Kortrijk vs. RFC de Liège 2:0,1990-1991
0,1,Frans Van Rooij,14,Royal Antwerp FC,KFC Germinal Ekeren vs. Royal Antwerp FC 2:2,1990-1991
1,1,Frank Schmöller,54,KFC Germinal Ekeren,KFC Germinal Ekeren vs. Royal Antwerp FC 2:2,1990-1991
2,1,Eddy Snelders,56,KFC Germinal Ekeren,KFC Germinal Ekeren vs. Royal Antwerp FC 2:2,1990-1991
2,2,Hans-Peter Lehnhoff,88,Royal Antwerp FC,KFC Germinal Ekeren vs. Royal Antwerp FC 2:2,1990-1991
1,0,Osvaldo Hurtado,3,RSC Charleroi,RSC Charleroi vs. KV Mechelen 5:1,1990-1991
2,0,Atty Affo,9,RSC Charleroi,RSC Charleroi vs. KV Mechelen 5:1,1990-1991
3,0,Marc Wuyts,32,RSC Charleroi,RSC Charleroi vs. KV Mechelen 5:1,1990-1991
4,0,Marc Wuyts,45,RSC Charleroi,RSC Charleroi vs. KV Mechelen 5:1,1990-1991
5,0,Osvaldo Hurtado,55,RSC Charleroi,RSC Charleroi vs. KV Mechelen 5:1,1990-1991
5,1,Klas Ingesson,65,KV Mechelen,RSC Charleroi vs. KV Mechelen 5:1,1990-1991
1,0,Jan Ceulemans,61,Club Brugge KV,Club Brugge KV vs. Sporting Lokeren 1:0,1990-1991
1,0,Yves Audoor,4,K. Beerschot VAV,K. Beerschot VAV vs. KSV Waregem 1:1,1990-1991
1,1,Kurt Vanhove,87,KSV Waregem,K. Beerschot VAV vs. KSV Waregem 1:1,1990-1991
1,0,Luc Nilis,47,RSC Anderlecht,RSC Anderlecht vs. Sint-Truidense VV 1:0,1990-1991
0,1,Rudy Janssens,42,KAA Gent,KRC Genk vs. KAA Gent 0:3,1990-1991
0,2,Rudy Janssens,56,KAA Gent,KRC Genk vs. KAA Gent 0:3,1990-1991
0,3,Eric Viscaal,84,KAA Gent,KRC Genk vs. KAA Gent 0:3,1990-1991
0,1,Marino Sabbadini,65,KFC Germinal Ekeren,Sint-Truidense VV vs. KFC Germinal Ekeren 1:1,1990-1991
1,1,Patrick van Kets,70,Sint-Truidense VV,Sint-Truidense VV vs. KFC Germinal Ekeren 1:1,1990-1991
0,1,Miklos Molnar,50,Standard Liège,KV Mechelen vs. Standard Liège 1:3,1990-1991
1,1,Marc Wilmots,56,KV Mechelen,KV Mechelen vs. Standard Liège 1:3,1990-1991
1,2,Thierry Siquet,66,Standard Liège,KV Mechelen vs. Standard Liège 1:3,1990-1991
1,3,André Cruz,90,Standard Liège,KV Mechelen vs. Standard Liège 1:3,1990-1991
0,1,Marc Wuyts,72,RSC Charleroi,Sporting Lokeren vs. RSC Charleroi 0:1,1990-1991
1,0,Nebojsa Malbasa,8,RFC de Liège,RFC de Liège vs. RSC Anderlecht 4:2,1990-1991
1,1,Luis Oliveira,29,RSC Anderlecht,RFC de Liège vs. RSC Anderlecht 4:2,1990-1991
2,1,Danny Boffin,34,RFC de Liège,RFC de Liège vs. RSC Anderlecht 4:2,1990-1991
2,2,Luis Oliveira,38,RSC Anderlecht,RFC de Liège vs. RSC Anderlecht 4:2,1990-1991
3,2,Didier Quain,39,RFC de Liège,RFC de Liège vs. RSC Anderlecht 4:2,1990-1991
4,2,Nebojsa Malbasa,73,RFC de Liège,RFC de Liège vs. RSC Anderlecht 4:2,1990-1991
1,0,Eric Viscaal,27,KAA Gent,KAA Gent vs. KV Kortrijk 2:1,1990-1991
1,1,Patrick Goots,57,KV Kortrijk,KAA Gent vs. KV Kortrijk 2:1,1990-1991
2,1,Eric Viscaal,83,KAA Gent,KAA Gent vs. KV Kortrijk 2:1,1990-1991
1,0,Nico Claesen,28,Royal Antwerp FC,Royal Antwerp FC vs. Lierse SK 2:0,1990-1991
2,0,Nico Claesen,83,Royal Antwerp FC,Royal Antwerp FC vs. Lierse SK 2:0,1990-1991
1,0,Patrick Teppers,23,KSV Waregem,KSV Waregem vs. KRC Genk 4:0,1990-1991
2,0,Kurt Vanhove,61,KSV Waregem,KSV Waregem vs. KRC Genk 4:0,1990-1991
3,0,Richard Niederbacher,75,KSV Waregem,KSV Waregem vs. KRC Genk 4:0,1990-1991
4,0,Jean-Marie Abeels,83,KSV Waregem,KSV Waregem vs. KRC Genk 4:0,1990-1991
1,0,Michael Emenalo,13,RWD Molenbeek,RWD Molenbeek vs. K. Beerschot VAV 4:1,1990-1991
1,1,Mansoni N'Gombo,23,K. Beerschot VAV,RWD Molenbeek vs. K. Beerschot VAV 4:1,1990-1991
2,1,Harm van Veldhoven,35,RWD Molenbeek,RWD Molenbeek vs. K. Beerschot VAV 4:1,1990-1991
3,1,Philip Osondu,58,RWD Molenbeek,RWD Molenbeek vs. K. Beerschot VAV 4:1,1990-1991
4,1,Emil Lörincz,90,RWD Molenbeek,RWD Molenbeek vs. K. Beerschot VAV 4:1,1990-1991
0,1,Frank Farina,75,Club Brugge KV,Cercle Brugge vs. Club Brugge KV 0:1,1990-1991
1,0,Guy Vandersmissen,6,Standard Liège,Standard Liège vs. Sporting Lokeren 3:1,1990-1991
2,0,Miklos Molnar,8,Standard Liège,Standard Liège vs. Sporting Lokeren 3:1,1990-1991
2,1,Bart De Roover,64,Sporting Lokeren,Standard Liège vs. Sporting Lokeren 3:1,1990-1991
3,1,Patrick Asselman,65,Standard Liège,Standard Liège vs. Sporting Lokeren 3:1,1990-1991
NA,NA,NA,NA,NA,Lierse SK vs. Sint-Truidense VV 0:0,1990-1991
1,0,Frane Bućan,35,KRC Genk,KRC Genk vs. KV Kortrijk 2:0,1990-1991
2,0,Frane Bućan,50,KRC Genk,KRC Genk vs. KV Kortrijk 2:0,1990-1991
0,1,Marc De Buyser,60,Cercle Brugge,RSC Charleroi vs. Cercle Brugge 1:2,1990-1991
0,2,Josip Weber,65,Cercle Brugge,RSC Charleroi vs. Cercle Brugge 1:2,1990-1991
1,2,Marc Wuyts,84,RSC Charleroi,RSC Charleroi vs. Cercle Brugge 1:2,1990-1991
1,0,Claude Verspaille,5,Club Brugge KV,Club Brugge KV vs. Royal Antwerp FC 2:0,1990-1991
2,0,Frank Farina,79,Club Brugge KV,Club Brugge KV vs. Royal Antwerp FC 2:0,1990-1991
1,0,Prince Polley,11,K. Beerschot VAV,K. Beerschot VAV vs. KV Mechelen 2:2,1990-1991
1,1,Marc Wilmots,30,KV Mechelen,K. Beerschot VAV vs. KV Mechelen 2:2,1990-1991
1,2,René Eijkelkamp,42,KV Mechelen,K. Beerschot VAV vs. KV Mechelen 2:2,1990-1991
2,2,Lieven Heymans,53,K. Beerschot VAV,K. Beerschot VAV vs. KV Mechelen 2:2,1990-1991
0,1,Eric Viscaal,24,KAA Gent,RSC Anderlecht vs. KAA Gent 1:1,1990-1991
1,1,Alain Van Baekel,51,RSC Anderlecht,RSC Anderlecht vs. KAA Gent 1:1,1990-1991
1,0,Richard Niederbacher,61,KSV Waregem,KSV Waregem vs. RWD Molenbeek 2:0,1990-1991
2,0,Richard Niederbacher,88,KSV Waregem,KSV Waregem vs. RWD Molenbeek 2:0,1990-1991
0,1,Ronald Foguenne,15,RFC de Liège,KFC Germinal Ekeren vs. RFC de Liège 2:2,1990-1991
1,1,Gunther Hofmans,30,KFC Germinal Ekeren,KFC Germinal Ekeren vs. RFC de Liège 2:2,1990-1991
1,2,Nebojsa Malbasa,55,RFC de Liège,KFC Germinal Ekeren vs. RFC de Liège 2:2,1990-1991
2,2,Ngoy N'Sumbu,90,KFC Germinal Ekeren,KFC Germinal Ekeren vs. RFC de Liège 2:2,1990-1991
NA,NA,NA,NA,NA,Cercle Brugge vs. Standard Liège 0:0,1990-1991
0,1,Jan Ceulemans,76,Club Brugge KV,Sint-Truidense VV vs. Club Brugge KV 0:2,1990-1991
0,2,Lorenzo Staelens,88,Club Brugge KV,Sint-Truidense VV vs. Club Brugge KV 0:2,1990-1991
1,0,Bruno Versavel,67,KV Mechelen,KV Mechelen vs. KSV Waregem 1:0,1990-1991
1,0,Erwin Vandenbergh,30,KAA Gent,KAA Gent vs. KFC Germinal Ekeren 2:0,1990-1991
2,0,Davy Cooreman,82,KAA Gent,KAA Gent vs. KFC Germinal Ekeren 2:0,1990-1991
1,0,Emil Lörincz,20,RWD Molenbeek,RWD Molenbeek vs. KRC Genk 2:0,1990-1991
2,0,Thierry de Jaegher,78,RWD Molenbeek,RWD Molenbeek vs. KRC Genk 2:0,1990-1991
1,0,Frank Bosmans,5,Sporting Lokeren,Sporting Lokeren vs. K. Beerschot VAV 3:1,1990-1991
2,0,Bart De Roover,15,Sporting Lokeren,Sporting Lokeren vs. K. Beerschot VAV 3:1,1990-1991
3,0,Calogero Taibi,21,Sporting Lokeren,Sporting Lokeren vs. K. Beerschot VAV 3:1,1990-1991
3,1,Lieven Heymans,36,K. Beerschot VAV,Sporting Lokeren vs. K. Beerschot VAV 3:1,1990-1991
NA,NA,NA,NA,NA,RFC de Liège vs. Lierse SK 0:0,1990-1991
0,1,Luc Nilis,6,RSC Anderlecht,KV Kortrijk vs. RSC Anderlecht 1:7,1990-1991
0,2,Charly Musonda,12,RSC Anderlecht,KV Kortrijk vs. RSC Anderlecht 1:7,1990-1991
0,3,Marc Degryse,28,RSC Anderlecht,KV Kortrijk vs. RSC Anderlecht 1:7,1990-1991
0,4,Marc Degryse,38,RSC Anderlecht,KV Kortrijk vs. RSC Anderlecht 1:7,1990-1991
0,5,Marc Degryse,47,RSC Anderlecht,KV Kortrijk vs. RSC Anderlecht 1:7,1990-1991
0,6,Luis Oliveira,59,RSC Anderlecht,KV Kortrijk vs. RSC Anderlecht 1:7,1990-1991
0,7,Willem Kooiman,76,RSC Anderlecht,KV Kortrijk vs. RSC Anderlecht 1:7,1990-1991
1,7,Patrick Goots,83,KV Kortrijk,KV Kortrijk vs. RSC Anderlecht 1:7,1990-1991
0,1,Geert Hoebrechts,14,RSC Charleroi,Royal Antwerp FC vs. RSC Charleroi 1:1,1990-1991
1,1,Hans-Peter Lehnhoff,55,Royal Antwerp FC,Royal Antwerp FC vs. RSC Charleroi 1:1,1990-1991
1,0,Guy Vandersmissen,42,Standard Liège,Standard Liège vs. Royal Antwerp FC 2:1,1990-1991
1,1,Nico Claesen,64,Royal Antwerp FC,Standard Liège vs. Royal Antwerp FC 2:1,1990-1991
2,1,Patrick Asselman,81,Standard Liège,Standard Liège vs. Royal Antwerp FC 2:1,1990-1991
0,1,Bruno Versavel,85,KV Mechelen,RWD Molenbeek vs. KV Mechelen 0:1,1990-1991
0,1,Danny Veyt,30,KAA Gent,Lierse SK vs. KAA Gent 0:1,1990-1991
0,1,Luc Nilis,11,RSC Anderlecht,KRC Genk vs. RSC Anderlecht 0:3,1990-1991
0,2,Michel De Wolf,56,RSC Anderlecht,KRC Genk vs. RSC Anderlecht 0:3,1990-1991
0,3,Luis Oliveira,64,RSC Anderlecht,KRC Genk vs. RSC Anderlecht 0:3,1990-1991
NA,NA,NA,NA,NA,RSC Charleroi vs. Sint-Truidense VV 0:0,1990-1991
1,0,Foeke Booy,25,Club Brugge KV,Club Brugge KV vs. RFC de Liège 3:1,1990-1991
1,1,Nebojsa Malbasa,62,RFC de Liège,Club Brugge KV vs. RFC de Liège 3:1,1990-1991
2,1,Foeke Booy,83,Club Brugge KV,Club Brugge KV vs. RFC de Liège 3:1,1990-1991
3,1,Frank Farina,85,Club Brugge KV,Club Brugge KV vs. RFC de Liège 3:1,1990-1991
1,0,Bachir Makhi,16,K. Beerschot VAV,K. Beerschot VAV vs. Cercle Brugge 3:2,1990-1991
2,0,Lieven Heymans,57,K. Beerschot VAV,K. Beerschot VAV vs. Cercle Brugge 3:2,1990-1991
3,0,Bachir Makhi,66,K. Beerschot VAV,K. Beerschot VAV vs. Cercle Brugge 3:2,1990-1991
3,1,Josip Weber,83,Cercle Brugge,K. Beerschot VAV vs. Cercle Brugge 3:2,1990-1991
3,2,Josip Weber,89,Cercle Brugge,K. Beerschot VAV vs. Cercle Brugge 3:2,1990-1991
