GH,GA,scorer,time,scoring,game,season
2,0,Miroslav Ćurčić,90,SC Farense,SC Farense vs. Vitória Setúbal 2:0,1990-1991
NA,NA,NA,NA,NA,FC Famalicão vs. CD Nacional 0:0,1990-1991
0,1,Duílio,45,Estrela Amadora,GD Chaves vs. Estrela Amadora 1:3,1990-1991
0,2,Ricky Owubokiri,57,Estrela Amadora,GD Chaves vs. Estrela Amadora 1:3,1990-1991
0,3,Miranda,68,Estrela Amadora,GD Chaves vs. Estrela Amadora 1:3,1990-1991
1,3,Tihomir Rudež,76,GD Chaves,GD Chaves vs. Estrela Amadora 1:3,1990-1991
1,0,José Manuel Forbs,28,Sporting Braga,Sporting Braga vs. União da Madeira 1:2,1990-1991
1,1,Carlos Manuel,77,União da Madeira,Sporting Braga vs. União da Madeira 1:2,1990-1991
1,2,Dragan Lepinjica,90,União da Madeira,Sporting Braga vs. União da Madeira 1:2,1990-1991
1,0,Rui Águas,40,SL Benfica,SL Benfica vs. FC Penafiel 2:0,1990-1991
2,0,Rui Águas,55,SL Benfica,SL Benfica vs. FC Penafiel 2:0,1990-1991
NA,NA,NA,NA,NA,SC Beira-Mar vs. Gil Vicente 0:0,1990-1991
NA,NA,NA,NA,NA,Vitória Setúbal vs. FC Famalicão 0:0,1990-1991
1,0,José Soeiro,24,Vitória Guimarães,Vitória Guimarães vs. SC Beira-Mar 1:1,1990-1991
1,1,Magdy Abdel Ghani,35,SC Beira-Mar,Vitória Guimarães vs. SC Beira-Mar 1:1,1990-1991
0,1,Tihomir Rudež,43,GD Chaves,União da Madeira vs. GD Chaves 1:1,1990-1991
1,1,Dragan Lepinjica,79,União da Madeira,União da Madeira vs. GD Chaves 1:1,1990-1991
0,1,Valdo,13,SL Benfica,SC Salgueiros vs. SL Benfica 0:3,1990-1991
0,2,Isaías,51,SL Benfica,SC Salgueiros vs. SL Benfica 0:3,1990-1991
0,3,Isaías,85,SL Benfica,SC Salgueiros vs. SL Benfica 0:3,1990-1991
0,1,Guedes,51,CS Marítimo,FC Penafiel vs. CS Marítimo 1:1,1990-1991
1,1,Nogueira,83,FC Penafiel,FC Penafiel vs. CS Marítimo 1:1,1990-1991
1,0,Edmilson,55,CD Nacional,CD Nacional vs. Sporting Braga 1:0,1990-1991
0,1,Miroslav Ćurčić,42,SC Farense,Gil Vicente vs. SC Farense 2:1,1990-1991
1,1,Rui Filipe,71,Gil Vicente,Gil Vicente vs. SC Farense 2:1,1990-1991
2,1,Rosado,90,Gil Vicente,Gil Vicente vs. SC Farense 2:1,1990-1991
0,1,Vlamecir,77,FC Tirsense,Estrela Amadora vs. FC Tirsense 1:1,1990-1991
